system:index,snowfall_sum,temperature_2m,total_precipitation_sum,water_year,.geo
0,0.6439148911814438,271.7907109481632,1.2109306220498364,1950.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.7578647964441909,272.2962932202003,1.3441231359881831,1951.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.6396014824526491,273.447689504363,1.4308563475495166,1952.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.8113902565275889,273.26674350657765,1.5659270166313646,1953.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.6573011480323961,272.4709013420504,1.3446303507437183,1954.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.6416495618195311,272.77019299874286,1.2273382368327501,1955.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.7281348225957771,273.27727006783687,1.4759775604031657,1956.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.5772827797622629,271.9379952642839,1.1284224303575454,1957.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.7644274169203399,272.9017414276376,1.7353794096001995,1958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.6088814241531738,273.38547373223025,1.3836768723754875,1959.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.7156575556319957,272.81340820154617,1.4413023695238345,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.5964822572709271,271.95153492494256,1.2416074058956024,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.6324202366711587,272.14743013694294,1.2506318242671266,1962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.6029330834350674,272.920892118412,1.2759759060645628,1963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.5260367881094123,271.8789813904926,1.0525768866334695,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.5607012268884307,271.58640862889735,1.204652436383699,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.7020108646465125,271.56066951998594,1.3023098439702925,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.7278001824092502,271.3135759013604,1.3114724673815832,1967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.5712193540466536,271.7940359637083,1.288673086515865,1968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.7494088376317436,271.4665224943068,1.316284034353708,1969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.7363544486159402,272.1824990611927,1.3494854474993987,1970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.7616976413227075,273.0700897402739,1.5638001579877874,1971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.8797704970234826,272.6756843798267,1.5707835860382255,1972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.834490045943455,272.502656907252,1.6109542043753733,1973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.7510529362614592,271.8103684571557,1.3315045297593044,1974.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.7788803570498565,272.92529024437863,1.5596967978261633,1975.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.5700241951367746,272.6346074655024,1.1697175482310511,1976.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.7396479428785299,272.35354650311257,1.2720407113037515,1977.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.6939102329410376,270.74488771344204,1.2278886664447959,1978.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.6851107469131459,273.2728524288972,1.3449257094985343,1979.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.7282128741595849,271.7103368625136,1.3141192520774412,1980.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.759561348672743,271.8727097691882,1.320148726579662,1981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.8257648713116834,271.7595206009722,1.4374949015583411,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.8230393015771503,272.9232487478957,1.489469412314459,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.6134112177362236,272.4085972516069,1.1385655900208544,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.6661268660653736,272.540770211457,1.286984772124015,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.7462102827037458,273.22249237727607,1.375872702517609,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.6200262498510821,272.57464593860107,1.274127483686856,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.9163517249834763,272.48321288014176,1.6506462135618498,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.752128989631659,272.8368359337423,1.3495963375493407,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.7832760720442062,273.8860073659477,1.4521654060820703,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.9157148168785378,272.96201270097345,1.7374755330114993,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.8321217881211188,272.593557692617,1.4203474956620603,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.730854032687711,272.7885207728167,1.3487416730476887,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.8089672610709676,272.29381740215257,1.374900834586816,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.645918004531467,273.67433043862104,1.361069937561696,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.7218908693429777,272.5032131959834,1.3867094925711339,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.6243750798876772,273.10870829628163,1.3015296242477847,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.7947882437007252,272.8151953600681,1.4661927899017089,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.7379283202507642,273.0118492768099,1.3452890649815823,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.6149931179985294,273.08870604330536,1.2518679950920815,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.6675177634248534,273.42892821105033,1.4979428892498274,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.618023729189531,274.8616866351693,1.5605115906451195,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.6114987146942127,274.37463761574,1.4579203562045744,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.6443982371476089,273.39631469671116,1.331753599615389,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.660472781382449,273.8080526392129,1.4401224354002868,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.679859063524052,273.5844053030062,1.451613023038028,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.7089491815529779,273.77633498711367,1.5809684403242716,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.7247206325255129,273.3546007379973,1.4378142148037916,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.5331407350397137,274.03107541498747,1.2054187901128732,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.7074847036382945,273.4009973580644,1.365102911982443,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.7813566210167847,273.74512970984955,1.4894097705391702,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.7446018638577774,273.37091144802264,1.439983873972393,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.7653939900770262,274.2117902510906,1.4931357064312007,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.8509272286356317,273.0593396982159,1.569911912375291,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
